CAH,-2.584376574 0.675289333 1.637090087 0.02951985 0.324608475 0.341670245 0.729489446 -0.405574977 -0.040969882 -0.270102441 -0.4366436
CAM,0.46555984 -0.214704007 -0.077907734 0.947517574 -1.16523695 0.806436718 0.289977491 -0.96191591 -0.995817423 -1.19219923 2.098289728
CAT,1.070093989 0.202793255 0.350721925 -0.806940436 -1.517488956 0.581954002 0.69672811 0.477810264 -1.808352709 -0.655899048 1.408579588
CB,0.54895556 -0.952971458 0.295512915 -0.956851542 0.398424953 0.115660317 0.809819758 0.51188308 -2.114565372 -0.405644 1.749775767
CBG,-0.396209866 -0.520279408 -0.349268258 1.179794908 -1.081975698 0.261155069 1.288777471 0.418807864 -1.021076441 -1.45771873 1.677993178
CBS,1.257201791 -0.632816374 0.529857814 0.58614707 -1.169935584 -0.33071056 0.350700378 1.243169546 -1.389539361 -1.490632772 1.046558142
CCE,0.232868567 -1.529197216 -0.037649747 0.43383792 -0.869853914 2.356553793 0.47199145 -0.352875203 -0.984637141 -0.473702192 0.752663732
CCL,1.08833766 -1.354040146 0.71297884 -0.300421774 0.283244669 0.537393808 0.558857441 0.477713346 -1.42870307 -1.748372197 1.173011422
CEG,0.368333906 -0.760212898 0.432551742 1.799672008 -1.451319337 1.472781777 -0.006419092 0.092351086 -0.011481873 -1.560507059 -0.375750214
CELG,0.869424522 -1.438818336 1.246558785 -0.050486952 0.162698448 0.551984787 0.452796906 -0.100528829 -2.14087534 -0.609381735 1.05662787
CEPH,0.346593142 -1.121606827 0.159400478 2.202660322 0.348193288 1.215012789 -0.236848116 -0.889843285 -1.387233615 -0.611816227 -0.02451198
CF,0.390184492 -0.330974817 0.144963697 0.450266421 0.126539886 1.093137503 -1.186984658 -0.713239729 -1.493912816 -0.653999567 2.174019575
CHK,2.458672047 -1.249024153 -0.315220803 0.845831633 -0.396996528 0.748915792 -1.073829412 0.095087126 -0.585159779 -0.593905389 0.06562952
CHRW,0.166271389 -0.683782339 -0.317671597 0.576219499 -0.779846132 -1.122110963 0.481974691 0.980302513 -0.793239295 -0.877201021 2.369083166
CI,-0.669246793 -0.334414184 2.003015757 1.175864458 -0.631029844 0.094932579 0.772130311 -1.662410259 0.470012844 -1.006181359 -0.212673336
CINF,0.090474993 -1.00861001 0.189179927 0.54933548 -0.033366021 0.309315473 1.764321923 -0.602523863 -1.319865346 -1.43888545 1.500622988
CL,1.017754912 0.24870275 1.878223419 -0.811496317 -0.850721776 0.697036326 0.488171607 -0.546959937 -1.987396479 0.005375009 -0.138689503
CLX,-0.48997578 -0.836835325 1.105407953 0.116438076 -1.414446712 0.990892112 1.354122758 -0.006479398 -1.380172968 -0.705797553 1.266846776
CMA,1.04418838 -1.293375254 -0.235723674 0.033460665 1.791130185 0.127307281 0.248154059 0.929427624 -1.766229749 -0.95156002 0.073220618
CMCSA,0.812700272 -1.704618692 -0.275690109 1.331801534 -0.940419972 0.131621599 1.281322241 0.254141808 -1.197448611 -0.711321235 1.017911077
CME,0.89382112 0.013894632 0.992734671 0.370464414 -2.141839027 0.789045691 0.729174674 0.637949347 -0.544961274 -1.617840052 -0.122444086
CMI,-0.655403018 -0.571556926 -0.505525589 -0.344412804 -0.693621814 1.90387094 0.319536328 1.03317976 -1.108883142 -0.947683156 1.57049942
CMS,-0.334611356 -0.320666432 0.85158062 1.544093728 -0.905791819 -0.197395965 -0.087986365 0.646998823 -2.137776375 -0.35888195 1.300437093
CNP,-0.224572808 -0.003678982 0.771366417 1.561545372 -1.029354215 -1.073821306 1.165169001 -0.272046328 -1.283227921 -0.934770167 1.32339108
CNX,1.767255425 -0.316180974 0.370782584 0.690951943 -0.626797974 0.655114949 -1.414895773 0.361462325 -1.686588883 -0.719986141 0.918882549
COF,-1.213115573 0.755266964 0.297874868 -0.292104661 -1.141056418 0.257805556 1.880959153 0.796241462 -1.364088416 -0.820276618 0.842493773
COG,0.306035459 1.57100606 -0.360887349 1.870325446 -1.413439989 0.743745685 -0.923240364 -0.102795832 -0.376051903 -1.099155068 -0.215542287
COH,1.882158875 -0.831940532 0.890095949 0.331278831 -0.998254418 0.241647989 0.790580988 0.403059423 -0.586682737 -1.905198097 -0.21674633
COL,1.158126593 -0.476490587 0.596700013 0.1887777 -0.87902087 0.510995507 1.282847762 0.231124148 -1.782874584 -1.594892502 0.764706969
COP,-0.234940961 0.910349548 0.296887279 -0.437020779 -1.010836601 -0.270495951 0.542853355 1.659773946 -1.795653582 -0.928314865 1.267398596
COST,2.066747904 -0.1027698 0.987722397 -0.502004206 -0.872408867 1.104981303 -0.682571292 -0.462892413 -0.538857758 -1.508878827 0.510931492
CPB,0.730135024 -0.969067633 2.265820503 -1.250567675 -0.899727583 -0.171885058 1.279606581 0.037457265 -0.388118565 -0.335590541 -0.298062444
CPWR,0.088242427 -0.803985178 -0.90823704 0.632741511 0.806114197 -0.557510734 2.358904362 0.269209057 -1.328575373 -0.827469051 0.270565927
CRM,0.387273192 -0.542614162 0.208987862 1.308078527 -2.351405144 0.058818404 0.365314156 0.992955148 -0.618308365 -0.839519799 1.030420065
CSC,1.275282741 -0.652981758 1.619253039 0.682377636 -1.58110404 0.215956613 0.865315259 -0.517410398 -0.628291667 -1.375655651 0.097258128
CSCO,1.116654158 -0.4241243 0.107310221 0.19776386 -0.965417266 1.019753575 0.842076778 0.356083512 -2.047482252 -1.219801188 1.017182946
CSX,-0.495325208 -0.266254455 1.429547548 -0.018337592 -1.82197547 1.111463189 0.653996289 1.030754209 -1.187717795 -0.955951214 0.519800484
CTAS,1.403834224 -1.053581476 0.098641902 -0.952136636 -0.483784705 -0.162364542 1.789988637 -0.391273677 -0.609224379 -1.034429908 1.394330502
CTL,0.675819397 -1.031670809 1.92648685 0.150208384 -1.487768054 -0.054615106 0.512755096 -1.012457132 -0.079654686 -0.837309539 1.238205671
CTSH,1.271315217 -0.402229786 1.332715034 -0.21148029 -1.53772223 1.14956975 0.316349208 -0.77739507 -1.230709195 -0.818901062 0.908488512
CTXS,0.558736563 -0.892788827 -0.266403705 0.455320209 -0.463434607 -0.095243007 0.594817042 -0.542216063 -1.180863738 -0.767427862 2.599503994
CVH,-0.837886751 -0.298436552 1.767842174 0.832119763 -0.554669678 0.17518951 0.722115576 -0.365902781 -1.272681236 -1.455655694 1.287965655
CVS,-0.447957069 0.164602429 -1.590959549 0.756613612 0.284932613 0.811639249 1.379774213 0.353167027 -0.651910186 -1.928788424 0.868886232
CVX,-0.045487069 1.019774318 0.276646435 -0.354571283 -1.106869102 -0.113618881 0.586232483 0.966260076 -1.555478692 -1.380355835 1.707467556
D,0.42810607 -0.425348669 0.604541719 1.005676389 -1.299494863 -0.1899589 1.270023346 -0.133349195 -1.953038335 -0.61510396 1.307946444
DD,-0.248708561 -0.359571844 0.719399691 -0.697101235 -0.767527401 0.125649765 1.084666491 0.613385558 -1.594122767 -0.93384558 2.057775974
DE,-0.664275706 0.172760904 1.531478524 -0.364625782 -1.355072141 1.180448651 -0.060194504 -0.418860078 -0.892992795 -0.880524993 1.751857877
DELL,-0.267953664 -0.356116146 -0.22560589 0.323714733 -1.00092864 0.428189784 1.634688973 1.010934591 -1.843580723 -0.929516256 1.226173282
DF,0.096177496 0.268627256 -0.601658821 1.296702027 0.069396064 -1.098522425 0.834881246 0.251673073 -2.26267004 -0.178164691 1.323558927
DFS,1.78198874 -1.441911936 0.743798435 -0.668378294 -0.898646057 -0.172479481 0.831410289 0.253375441 -1.540931702 0.272874564 0.838900089
DGX,-0.430104882 1.640671849 0.951146841 1.063144445 -1.331139803 0.610423446 0.764633238 -0.16268307 -1.314115167 -0.902326524 -0.889650345
DHI,-1.189415812 -0.126811117 -0.557287812 0.584385097 0.81836313 0.506686687 0.258237571 1.516050696 -1.370126724 -1.571244836 1.131163001
DHR,0.757802069 0.156502426 0.386315793 0.471013337 -0.188191429 0.331371605 0.58893013 0.437545806 -0.229220763 -3.031808853 0.319739968
DIS,0.397185653 -0.480646402 1.16727066 0.574631929 -1.54327333 0.43451637 1.280673504 0.407761902 -1.671179295 -1.174553275 0.607612252
DNB,0.596524417 0.761764109 0.109352902 1.309598327 -1.007487535 -1.808613658 1.09350729 0.647889555 -0.800367594 -1.284058332 0.381890416
DNR,-0.141482919 -0.300966263 -1.032942772 0.981141925 -0.868957758 0.275551826 1.748530746 1.165019989 -1.392549276 -1.105789304 0.672443748
DO,1.405156255 1.201845407 0.313394785 0.307594121 -0.503871977 -0.17226243 0.698663354 -1.0470438 -2.330668688 0.263815552 -0.136622593
DOV,1.040031075 -0.79545784 0.679316521 -0.189423129 -0.037810933 0.261265129 -0.009086491 0.997535288 -2.083620548 -1.22992909 1.367180109
DOW,1.829960704 -0.899957538 1.070875883 -0.316518217 -0.448568135 0.154331505 0.149403811 0.131698489 -1.453150392 -1.372810006 1.154733896
DPS,0.661155045 -1.01123023 -1.046438694 0.57466948 -0.737133741 1.430327892 0.919865906 -1.331659794 1.543098688 -0.607444882 -0.39520961
DRI,0.164377302 -1.680465579 -0.091471083 1.274039149 0.408355296 1.01287055 1.030555964 -0.279169768 -0.923051775 -1.664925456 0.748885393
DTE,-0.376180798 0.9751876 0.889095485 1.346538424 -1.411232948 0.130532622 0.00316238 1.195109844 -1.854534149 -0.56000495 -0.337673396
DTV,0.719844937 -1.206103921 2.021583319 0.121251769 -1.330445647 0.734206378 -0.437570602 0.297199667 -0.023257572 -1.431744099 0.53503561
DUK,0.192309588 -0.095625021 1.277730942 0.652334392 -1.445092559 -0.60294342 -0.336539477 0.54675746 -1.72036314 -0.208812624 1.740243793
DV,1.375548005 0.151283428 -0.693626761 0.686906576 1.262805223 0.504223228 0.472396553 -0.889166951 -1.527779341 -1.679745436 0.337155551
DVA,1.548734903 -1.25137639 1.80967319 -0.354066283 0.119066961 0.368285716 0.333386183 -0.479834259 0.094374858 -0.485482752 -1.702762127
DVN,1.557814002 -0.509836555 0.413465142 1.464139581 -1.550691247 0.428447336 -1.128780127 0.692765594 -0.918082952 -0.821512341 0.372271419
EBAY,0.803073823 -0.407384306 0.917760015 -0.43584615 -0.237113386 0.020201076 2.055990219 -1.383017898 -1.162983418 -0.97789371 0.807213724
ECL,1.366043448 -1.045325398 0.040402707 -0.388294399 -0.526273072 -0.959779799 0.489624381 1.681894064 -0.835399508 -1.11738956 1.294497252
ED,0.140717268 -0.195891425 0.754789531 1.194432855 -1.328402996 -0.945317447 0.751125038 0.039643094 -1.868677855 -0.035139106 1.492721081
EFX,0.559813023 -0.902633369 0.302601635 0.892728567 0.304581136 -0.082528196 1.331892371 -1.051068664 -1.583518624 -1.203415036 1.431547284
EIX,0.125326231 -1.225494742 1.652647614 0.5348984 -1.053646564 -0.520855308 1.180082798 0.144483581 -1.46703434 -0.497540057 1.127132297
EK,-0.495206356 -1.432017446 0.963315547 0.283750594 2.410173416 -0.042846259 -0.081233576 0.374669075 -0.378106833 -1.195515871 -0.406982422
EL,-0.255781502 0.31693235 1.460065484 -0.276517212 0.398745865 1.143946767 0.307711542 -0.485172927 -2.158909559 -1.241774559 0.790753603
EMC,1.213560343 -1.329356551 0.051246013 0.408255875 -1.596470714 0.675237417 0.250863075 0.784759104 -0.991913974 -0.912277579 1.446097016
